Timestamp,Container,CPU,Mem
1771173277,axum-api_redis_1,1.21%,258.9MB / 8.296GB
1771173277,axum-api_mssql_1,6.21%,921.2MB / 8.296GB
1771173277,kafka1,16.26%,847.7MB / 8.296GB
1771173277,kafka2,16.34%,916.1MB / 8.296GB
1771173277,kafka3,25.00%,1.038GB / 8.296GB
1771173277,envoy-server,0.24%,13.03MB / 8.296GB
1771173277,envoy-client,0.21%,12.53MB / 8.296GB
1771173277,kafka-cluster-ui,6.63%,336.1MB / 8.296GB
1771173277,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173277,axum-api_axum-api_1,0.10%,2.417MB / 8.296GB
1771173279,axum-api_redis_1,1.20%,258.9MB / 8.296GB
1771173279,axum-api_mssql_1,6.15%,921.2MB / 8.296GB
1771173279,kafka1,16.12%,847.7MB / 8.296GB
1771173279,kafka2,16.73%,914.5MB / 8.296GB
1771173279,kafka3,25.41%,1.034GB / 8.296GB
1771173279,envoy-server,0.24%,13.03MB / 8.296GB
1771173279,envoy-client,0.21%,12.53MB / 8.296GB
1771173279,kafka-cluster-ui,6.55%,336.1MB / 8.296GB
1771173279,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173279,axum-api_axum-api_1,13.17%,45.57MB / 8.296GB
1771173281,axum-api_redis_1,1.19%,258.9MB / 8.296GB
1771173281,axum-api_mssql_1,6.09%,921.2MB / 8.296GB
1771173281,kafka1,15.98%,847.9MB / 8.296GB
1771173281,kafka2,16.57%,914.6MB / 8.296GB
1771173281,kafka3,25.39%,1.037GB / 8.296GB
1771173281,envoy-server,0.24%,13.03MB / 8.296GB
1771173281,envoy-client,0.21%,12.53MB / 8.296GB
1771173281,kafka-cluster-ui,6.46%,336.1MB / 8.296GB
1771173281,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173281,axum-api_axum-api_1,24.01%,47.19MB / 8.296GB
1771173283,axum-api_redis_1,1.18%,258.9MB / 8.296GB
1771173283,axum-api_mssql_1,6.03%,921.1MB / 8.296GB
1771173283,kafka1,15.86%,848MB / 8.296GB
1771173283,kafka2,16.46%,914.6MB / 8.296GB
1771173283,kafka3,25.31%,1.038GB / 8.296GB
1771173283,envoy-server,0.24%,13.03MB / 8.296GB
1771173283,envoy-client,0.21%,12.53MB / 8.296GB
1771173283,kafka-cluster-ui,6.38%,336.1MB / 8.296GB
1771173283,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173283,axum-api_axum-api_1,31.95%,46.42MB / 8.296GB
1771173285,axum-api_redis_1,1.16%,258.9MB / 8.296GB
1771173285,axum-api_mssql_1,5.98%,921.1MB / 8.296GB
1771173285,kafka1,15.72%,848MB / 8.296GB
1771173285,kafka2,16.30%,914.6MB / 8.296GB
1771173285,kafka3,25.20%,1.034GB / 8.296GB
1771173285,envoy-server,0.24%,13.03MB / 8.296GB
1771173285,envoy-client,0.21%,12.53MB / 8.296GB
1771173285,kafka-cluster-ui,6.30%,336.1MB / 8.296GB
1771173285,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173285,axum-api_axum-api_1,38.13%,46.38MB / 8.296GB
1771173287,axum-api_redis_1,1.15%,258.9MB / 8.296GB
1771173287,axum-api_mssql_1,5.92%,921.1MB / 8.296GB
1771173287,kafka1,16.09%,848MB / 8.296GB
1771173287,kafka2,16.16%,914.6MB / 8.296GB
1771173287,kafka3,25.12%,1.034GB / 8.296GB
1771173287,envoy-server,0.24%,13.03MB / 8.296GB
1771173287,envoy-client,0.21%,12.53MB / 8.296GB
1771173287,kafka-cluster-ui,6.22%,336.1MB / 8.296GB
1771173287,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173287,axum-api_axum-api_1,43.08%,47.34MB / 8.296GB
1771173290,axum-api_redis_1,1.14%,258.9MB / 8.296GB
1771173290,axum-api_mssql_1,5.87%,921.1MB / 8.296GB
1771173290,kafka1,15.96%,848MB / 8.296GB
1771173290,kafka2,16.58%,918.3MB / 8.296GB
1771173290,kafka3,25.62%,1.034GB / 8.296GB
1771173290,envoy-server,0.24%,13.03MB / 8.296GB
1771173290,envoy-client,0.21%,12.53MB / 8.296GB
1771173290,kafka-cluster-ui,6.14%,336.1MB / 8.296GB
1771173290,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173290,axum-api_axum-api_1,46.75%,49.46MB / 8.296GB
1771173292,axum-api_redis_1,1.13%,258.9MB / 8.296GB
1771173292,axum-api_mssql_1,5.81%,921.1MB / 8.296GB
1771173292,kafka1,15.83%,848MB / 8.296GB
1771173292,kafka2,16.43%,933.8MB / 8.296GB
1771173292,kafka3,25.64%,1.04GB / 8.296GB
1771173292,envoy-server,0.24%,13.03MB / 8.296GB
1771173292,envoy-client,0.21%,12.53MB / 8.296GB
1771173292,kafka-cluster-ui,6.06%,336.1MB / 8.296GB
1771173292,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173292,axum-api_axum-api_1,50.13%,49.09MB / 8.296GB
1771173294,axum-api_redis_1,1.12%,258.9MB / 8.296GB
1771173294,axum-api_mssql_1,5.76%,921.1MB / 8.296GB
1771173294,kafka1,15.69%,848MB / 8.296GB
1771173294,kafka2,16.29%,949.1MB / 8.296GB
1771173294,kafka3,25.53%,1.036GB / 8.296GB
1771173294,envoy-server,0.24%,13.03MB / 8.296GB
1771173294,envoy-client,0.21%,12.53MB / 8.296GB
1771173294,kafka-cluster-ui,5.99%,336.1MB / 8.296GB
1771173294,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173294,axum-api_axum-api_1,52.98%,48.48MB / 8.296GB
1771173296,axum-api_redis_1,1.11%,258.9MB / 8.296GB
1771173296,axum-api_mssql_1,5.71%,921.1MB / 8.296GB
1771173296,kafka1,15.56%,848MB / 8.296GB
1771173296,kafka2,16.15%,964.6MB / 8.296GB
1771173296,kafka3,25.43%,1.036GB / 8.296GB
1771173296,envoy-server,0.24%,13.03MB / 8.296GB
1771173296,envoy-client,0.21%,12.53MB / 8.296GB
1771173296,kafka-cluster-ui,5.92%,336.1MB / 8.296GB
1771173296,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173296,axum-api_axum-api_1,55.41%,47.52MB / 8.296GB
1771173298,axum-api_redis_1,1.10%,258.9MB / 8.296GB
1771173298,axum-api_mssql_1,5.67%,921.2MB / 8.296GB
1771173298,kafka1,15.94%,848.1MB / 8.296GB
1771173298,kafka2,16.03%,980.1MB / 8.296GB
1771173298,kafka3,25.33%,1.036GB / 8.296GB
1771173298,envoy-server,0.24%,13.03MB / 8.296GB
1771173298,envoy-client,0.21%,12.53MB / 8.296GB
1771173298,kafka-cluster-ui,5.85%,336.1MB / 8.296GB
1771173298,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173298,axum-api_axum-api_1,57.44%,48.66MB / 8.296GB
1771173300,axum-api_redis_1,1.09%,258.9MB / 8.296GB
1771173300,axum-api_mssql_1,5.62%,921.2MB / 8.296GB
1771173300,kafka1,15.81%,848.1MB / 8.296GB
1771173300,kafka2,16.12%,1.042GB / 8.296GB
1771173300,kafka3,25.45%,1.078GB / 8.296GB
1771173300,envoy-server,0.24%,13.03MB / 8.296GB
1771173300,envoy-client,0.21%,12.53MB / 8.296GB
1771173300,kafka-cluster-ui,5.78%,336.1MB / 8.296GB
1771173300,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173300,axum-api_axum-api_1,59.22%,49.79MB / 8.296GB
1771173302,axum-api_redis_1,1.08%,258.9MB / 8.296GB
1771173302,axum-api_mssql_1,5.57%,921.2MB / 8.296GB
1771173302,kafka1,15.68%,848.1MB / 8.296GB
1771173302,kafka2,16.30%,1.002GB / 8.296GB
1771173302,kafka3,25.67%,1.036GB / 8.296GB
1771173302,envoy-server,0.24%,13.03MB / 8.296GB
1771173302,envoy-client,0.21%,12.54MB / 8.296GB
1771173302,kafka-cluster-ui,5.72%,336.1MB / 8.296GB
1771173302,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173302,axum-api_axum-api_1,60.78%,48.48MB / 8.296GB
1771173304,axum-api_redis_1,1.07%,258.9MB / 8.296GB
1771173304,axum-api_mssql_1,5.53%,921.2MB / 8.296GB
1771173304,kafka1,15.66%,853MB / 8.296GB
1771173304,kafka2,16.21%,1.002GB / 8.296GB
1771173304,kafka3,25.56%,1.036GB / 8.296GB
1771173304,envoy-server,0.24%,13.03MB / 8.296GB
1771173304,envoy-client,0.21%,12.54MB / 8.296GB
1771173304,kafka-cluster-ui,5.65%,336.1MB / 8.296GB
1771173304,axum-api_user-consumer_1,0.05%,5.427MB / 8.296GB
1771173304,axum-api_axum-api_1,62.24%,47.83MB / 8.296GB
