Timestamp,Container,CPU,Mem
1771173196,axum-api_redis_1,2.23%,258.9MB / 8.296GB
1771173196,axum-api_mssql_1,11.09%,921.3MB / 8.296GB
1771173196,kafka1,17.13%,685MB / 8.296GB
1771173196,kafka2,18.26%,895MB / 8.296GB
1771173196,kafka3,20.28%,875.5MB / 8.296GB
1771173196,envoy-server,0.25%,13.02MB / 8.296GB
1771173196,envoy-client,0.22%,12.49MB / 8.296GB
1771173196,kafka-cluster-ui,13.45%,334.3MB / 8.296GB
1771173196,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173196,axum-api_axum-api_1,0.09%,2.408MB / 8.296GB
1771173198,axum-api_redis_1,2.17%,258.9MB / 8.296GB
1771173198,axum-api_mssql_1,10.84%,921.3MB / 8.296GB
1771173198,kafka1,18.39%,789.8MB / 8.296GB
1771173198,kafka2,19.32%,975.3MB / 8.296GB
1771173198,kafka3,21.43%,880.9MB / 8.296GB
1771173198,envoy-server,0.25%,13.02MB / 8.296GB
1771173198,envoy-client,0.22%,12.49MB / 8.296GB
1771173198,kafka-cluster-ui,13.08%,334.3MB / 8.296GB
1771173198,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173198,axum-api_axum-api_1,13.12%,44.06MB / 8.296GB
1771173200,axum-api_redis_1,2.13%,258.9MB / 8.296GB
1771173200,axum-api_mssql_1,10.61%,921.3MB / 8.296GB
1771173200,kafka1,18.39%,721.9MB / 8.296GB
1771173200,kafka2,19.22%,896.4MB / 8.296GB
1771173200,kafka3,23.53%,882.5MB / 8.296GB
1771173200,envoy-server,0.25%,13.02MB / 8.296GB
1771173200,envoy-client,0.22%,12.49MB / 8.296GB
1771173200,kafka-cluster-ui,12.73%,334.3MB / 8.296GB
1771173200,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173200,axum-api_axum-api_1,24.32%,44.79MB / 8.296GB
1771173202,axum-api_redis_1,2.08%,258.9MB / 8.296GB
1771173202,axum-api_mssql_1,10.38%,921.3MB / 8.296GB
1771173202,kafka1,18.33%,742.2MB / 8.296GB
1771173202,kafka2,19.07%,899.1MB / 8.296GB
1771173202,kafka3,24.03%,968.1MB / 8.296GB
1771173202,envoy-server,0.25%,13.02MB / 8.296GB
1771173202,envoy-client,0.22%,12.49MB / 8.296GB
1771173202,kafka-cluster-ui,12.40%,334.3MB / 8.296GB
1771173202,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173202,axum-api_axum-api_1,32.83%,44.47MB / 8.296GB
1771173204,axum-api_redis_1,2.03%,258.9MB / 8.296GB
1771173204,axum-api_mssql_1,10.16%,921.3MB / 8.296GB
1771173204,kafka1,18.11%,754.3MB / 8.296GB
1771173204,kafka2,19.03%,915.9MB / 8.296GB
1771173204,kafka3,24.61%,1.027GB / 8.296GB
1771173204,envoy-server,0.25%,13.02MB / 8.296GB
1771173204,envoy-client,0.22%,12.49MB / 8.296GB
1771173204,kafka-cluster-ui,12.09%,334.3MB / 8.296GB
1771173204,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173204,axum-api_axum-api_1,39.48%,45.91MB / 8.296GB
1771173206,axum-api_redis_1,1.99%,258.9MB / 8.296GB
1771173206,axum-api_mssql_1,9.95%,921.3MB / 8.296GB
1771173206,kafka1,17.92%,769.8MB / 8.296GB
1771173206,kafka2,18.77%,915.9MB / 8.296GB
1771173206,kafka3,24.84%,1.028GB / 8.296GB
1771173206,envoy-server,0.25%,13.02MB / 8.296GB
1771173206,envoy-client,0.22%,12.49MB / 8.296GB
1771173206,kafka-cluster-ui,11.79%,334.3MB / 8.296GB
1771173206,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173206,axum-api_axum-api_1,44.66%,44.73MB / 8.296GB
1771173208,axum-api_redis_1,1.94%,258.9MB / 8.296GB
1771173208,axum-api_mssql_1,9.75%,921.3MB / 8.296GB
1771173208,kafka1,17.72%,785.2MB / 8.296GB
1771173208,kafka2,18.55%,912.7MB / 8.296GB
1771173208,kafka3,24.98%,1.023GB / 8.296GB
1771173208,envoy-server,0.25%,13.02MB / 8.296GB
1771173208,envoy-client,0.22%,12.49MB / 8.296GB
1771173208,kafka-cluster-ui,11.50%,334.3MB / 8.296GB
1771173208,axum-api_user-consumer_1,0.07%,5.427MB / 8.296GB
1771173208,axum-api_axum-api_1,48.86%,44.82MB / 8.296GB
1771173210,axum-api_redis_1,1.91%,258.9MB / 8.296GB
1771173210,axum-api_mssql_1,9.57%,921.3MB / 8.296GB
1771173210,kafka1,18.62%,800.6MB / 8.296GB
1771173210,kafka2,19.38%,912.7MB / 8.296GB
1771173210,kafka3,26.58%,1.03GB / 8.296GB
1771173210,envoy-server,0.25%,13.02MB / 8.296GB
1771173210,envoy-client,0.22%,12.49MB / 8.296GB
1771173210,kafka-cluster-ui,11.23%,334.3MB / 8.296GB
1771173210,axum-api_user-consumer_1,0.06%,5.427MB / 8.296GB
1771173210,axum-api_axum-api_1,52.01%,44.76MB / 8.296GB
1771173212,axum-api_redis_1,1.87%,258.9MB / 8.296GB
1771173212,axum-api_mssql_1,9.39%,921.3MB / 8.296GB
1771173212,kafka1,18.42%,815.9MB / 8.296GB
1771173212,kafka2,19.10%,912.7MB / 8.296GB
1771173212,kafka3,26.69%,1.03GB / 8.296GB
1771173212,envoy-server,0.25%,13.02MB / 8.296GB
